N,EST_ari,SE_ari,EST_geo,SE_geo,EST_cv,SE_cv,EST_geo_anal
480000,6.561408502475465,0.012096170212342307,6.200729226207454,0.011404371666465454,6.864061767304056,0.000783660873909898,6.474847237106069
490000,6.555598075434292,0.011962824353695096,6.186066429030123,0.011253984366636076,6.864755036847576,0.0007782247098238753,6.474847237106069
500000,6.560451088669685,0.011850181017577266,6.20854661181469,0.011184094945922768,6.864314605392116,0.0007669492820992172,6.474847237106069
510000,6.553807244109572,0.011727128435413134,6.194091100572299,0.011058863812701708,6.865312245343205,0.0007609237291373379,6.474847237106069
520000,6.567047972354333,0.011641971726204207,6.1827190589229355,0.010931224996266644,6.865381083464778,0.0007535260861434772,6.474847237106069
530000,6.553067506236892,0.01150202430748353,6.192163262948216,0.01086160682175061,6.863804721266778,0.0007473681264537998,6.474847237106069
540000,6.556996867076438,0.01137331905157411,6.184789687732403,0.010721753988961982,6.864696858247297,0.0007397826433033983,6.474847237106069
550000,6.55339309407166,0.011289564918224384,6.192269436063927,0.010644159048358151,6.863445301526945,0.0007308901067374466,6.474847237106069
560000,6.558471691757357,0.011207798183474395,6.19204919292327,0.010564009226501825,6.863390792927039,0.0007257712154240959,6.474847237106069
570000,6.5720521386078,0.011102321633975573,6.192433525889383,0.010463857705181275,6.863960201978538,0.0007212316772957969,6.474847237106069
580000,6.566560350677436,0.011011256470931489,6.174413048514814,0.010343033114910421,6.8647940091197395,0.0007148247248958522,6.474847237106069
590000,6.562181620108748,0.010921846804430922,6.187573564189123,0.010260118120106975,6.8640047125596,0.0007083034942869694,6.474847237106069
600000,6.571456239309226,0.01083422704958784,6.191256703212049,0.010187285860810856,6.86448999423683,0.000701886099111463,6.474847237106069
610000,6.572458031594183,0.010743044708558887,6.1766804074413635,0.010088388507726961,6.863273112890411,0.000695059112109921,6.474847237106069
620000,6.583974895346201,0.010665110252274132,6.1803348805768845,0.010005869357366236,6.864658859432596,0.0006894811076730638,6.474847237106069
630000,6.563045934879482,0.010569554129532617,6.184953364035343,0.009955664548409862,6.86397307937045,0.0006842147320870226,6.474847237106069
640000,6.586620787915096,0.010511344440465774,6.199625772184799,0.009860559565164146,6.865163850191676,0.0006805635862060948,6.474847237106069
650000,6.554458212681482,0.010394749524164047,6.186031389717255,0.009789066940640122,6.864325761305605,0.0006743655924385864,6.474847237106069
660000,6.572588853520516,0.010328656961995723,6.185543052598275,0.009712815326409264,6.864603824833651,0.0006685661196285996,6.474847237106069
670000,6.55927536502072,0.010241378123663492,6.1985100935182205,0.009653572796925325,6.863376703334591,0.0006638973639877029,6.474847237106069
680000,6.5757792651769265,0.010178974551874206,6.183672816030025,0.009563284129212861,6.863804664163716,0.0006590057324895947,6.474847237106069
690000,6.55353127009261,0.010081989564752923,6.206171171160667,0.009519170362812891,6.863959733274836,0.0006537892182408224,6.474847237106069
700000,6.5652154516673145,0.010008666866120107,6.196461246931085,0.009434016643119231,6.864188613781228,0.0006504003082984921,6.474847237106069
710000,6.551309285137161,0.009951300400830481,6.198576238470456,0.009375714078446302,6.864368659992606,0.000645933065163886,6.474847237106069
720000,6.543549079059797,0.009855079991023825,6.205258660035821,0.009315506987499443,6.864681312249468,0.000641134895948819,6.474847237106069
730000,6.555429348724459,0.009814388365045973,6.19619578789467,0.009230041211029058,6.864585979017137,0.0006358154026213394,6.474847237106069
740000,6.547081216611414,0.009734461300620128,6.19057397177345,0.0091802104879628,6.864443106553262,0.000632993334515632,6.474847237106069
750000,6.56319982399631,0.009683830947761365,6.195977367541365,0.009103108232565502,6.863811015866462,0.0006275103011394782,6.474847237106069
760000,6.573600980963967,0.009610330992198298,6.189427588955145,0.009051584800316223,6.8644889050106785,0.0006235943027875443,6.474847237106069
770000,6.576972634092251,0.00956481459182008,6.203971731120651,0.008987468066567058,6.86471067864305,0.0006211052522231077,6.474847237106069
780000,6.550085725059426,0.00948668112978276,6.182733466076382,0.008931273524292155,6.864377651671364,0.0006150051813445208,6.474847237106069
790000,6.555253133297801,0.009425468608865189,6.203006795871357,0.008894995287784068,6.8638617066049425,0.0006117892304521223,6.474847237106069
800000,6.554303608431242,0.009372630009581117,6.1981725550784965,0.008818839694894628,6.864336562672312,0.0006078908318132987,6.474847237106069
810000,6.56338864292785,0.009308222666154298,6.1925135751796105,0.008757951172115851,6.864427270984341,0.000604282394408518,6.474847237106069
820000,6.565499732516555,0.00927402041288835,6.205097274345604,0.008724622048283219,6.863253786153897,0.0006007419228983802,6.474847237106069
830000,6.572214432849615,0.009198784611442816,6.19854946498908,0.008661803272080161,6.864828233858685,0.0005967061759399563,6.474847237106069
840000,6.579464031485985,0.009157123056726538,6.198880438549634,0.00861658615300541,6.864273243541021,0.0005932663411823278,6.474847237106069
850000,6.571171796757999,0.009101376184463,6.187494461217033,0.008558121603598607,6.863210626475709,0.0005885127379243146,6.474847237106069
860000,6.580450031332894,0.009067321419103753,6.192064144756937,0.00850888300560289,6.863309127939806,0.0005863164168557227,6.474847237106069
870000,6.565232568674976,0.008980605041440253,6.189629691371069,0.008457697584184605,6.86487463822531,0.0005822434433297848,6.474847237106069
880000,6.560438553248982,0.008937425678482701,6.1868663186308375,0.008401820763545476,6.863838497772076,0.0005798230951372605,6.474847237106069
890000,6.5656209602909925,0.008893368765678814,6.19373767654849,0.00836647659541166,6.864550588449386,0.0005773521644109649,6.474847237106069
900000,6.565556097386446,0.008852646639588216,6.185215158504231,0.008317053331538513,6.864945287464817,0.0005730852212376304,6.474847237106069
910000,6.569477920839097,0.008800708366155827,6.180827224509782,0.008263966436577851,6.864284231600439,0.0005694121519021058,6.474847237106069
920000,6.548556448768895,0.008720787034191666,6.17853621028321,0.008221617930986077,6.864814217268031,0.0005674675263251838,6.474847237106069
930000,6.554272902228295,0.008687528438139322,6.185875660940993,0.008178019725115147,6.864268208403457,0.0005638903491606332,6.474847237106069
940000,6.56526537685156,0.008644039727256643,6.2017284467344735,0.008151380033408017,6.864369467671246,0.0005603958272947599,6.474847237106069
950000,6.55582740422578,0.008609888343706991,6.19248401325066,0.00809838144072711,6.863851252727922,0.0005573566500741131,6.474847237106069
960000,6.564579012474784,0.008561850831602179,6.18906223376187,0.00805105238789279,6.86329363748617,0.0005541480666064856,6.474847237106069
970000,6.572776610627309,0.008508709123607698,6.212355941670053,0.008032397515141898,6.864165746035397,0.0005505096930287486,6.474847237106069
